Kraj;Rok;Konsumpcja_ropy_naftowej;Konsumpcja_gazu_ziemnego;Konsumpcja_w璕la;Konsumpcja_energii_atomowej;Konsumpcja_energii_wodnej;Konsumpcja_energii_s這necznej;Konsumpcja_energii_wiatrowej;Konsumpcja_energii_geotermalnej,_biomasy_oraz_innych;Produkcja_dwutlenku_w璕la
Austria;2013;13.1455053740327;6.99522136690229;3.27890372208403;0;9.51408048551456;0.14164230438521;0.713497660874658;1.03730861855683;62.8154889293038
Belgia;2013;31.0569368013758;14.1797786152364;560708;9.64927365705748;0.0859845227858982;0.598271258541881;0.829298094763992;1.12820744897497;119.471974964138
Bu貪aria;2013;3.66244465940575;2.36835769561479;5.928;3.20659410779743;0.923202244648591;0.307960356609493;0.310901932389011;0.0248902565959179;39.9455575909387
Chorwacja;2013;3.13097268558326;2.28185248877424;0.6746;0;1.95094356700004;0.00255554124994342;0.116984206000814;0.0282843824953612;16.1172168355163
Cypr;2013;2.37028623292252;0;0.00024;0;0;0.0106349278182558;0.0522695388514276;0.0110874779381816;7.30678049032
Czechy;2013;8.852425145696;6.94641014617368;17.2027;6.95689460107704;0.646332081277999;0.468434629135175;0.10822736118025;0.904074987554868;104.866240949933
Dania;2013;7.92910650980746;3.29302020262352;3.23601129358938;0;0.00303649127709643;0.11710666633171;2.51691940843507;0.979767866930147;43.4313090902906
Estonia;2013;1.59255842170632;0.544090952517436;846724;0;0.00588315155903514;0.000045255011992578;0.119699506720369;0.150925464995248;25.6123635305264
Finlandia;2013;9.28304192184566;2.55431355689309;4.99066112544187;5.40047112849331;2.89641219179162;0.00147078788975878;0.175069013893288;2.70231967664105;50.7834098924825
Francja;2013;82.1224875919557;38.82408240906;11.564422827;95.8693487803771;16.0012671403357;1.07141240892428;3.62786803638502;1.21917002308005;337.729939584537
Niemcy;2013;118.262937087991;73.0647750071654;82.8373698289864;22.0143005837896;5.20387382902654;7.01678960944922;11.9330678372629;10.3199529347875;795.065678643849
Grecja;2013;14.5985050157638;3.20839563200209;2888125;0;1.4359415305245;0.825451418744623;0.936552473186402;0.0488754129519842;79.7696610551874
W璕ry;2013;6.13134260005653;7.8075140919079;259720;3.47775806670587;0.0481965877720956;0.00565687649907225;0.162443996922659;0.414535909852014;42.0329319340287
Islandia;2013;0.741491329893952;0;0.109630266552021;0;2.91054068221929;0;0.00124106168258134;1.18681086233425;2.66428450802628
Irlandia;2013;6.80901827171109;3.84111360579515;2.046;0;0.135675717724426;0.000158271061389474;1.02781643494737;0.108827349796347;37.1035963981827
W這chy;2013;61.3040200079002;57.8066706382321;13.5469;0;11.9414400144816;4.88496175951485;3.37081956826717;5.14759922161377;350.890842350571
υtwa;2013;1.64728011846757;1.20912510748065;0.0749;0;0.658912974611936;0.000045255011992578;0.0269267321355839;0.113590080101371;7.87753243024009
Litwa;2013;2.65544570793924;2.1644;0.2689;0;0.117934561252658;0.0101371226863375;0.136375978639634;0.0807801964067517;11.6977133967918
Luksemburg;2013;2.8457636381007;0.889902880481512;0.0479;0;0.0249745440557541;0.0166850830429469;0.0187869267321355;0.0212698556365117;10.7100440616302
Macedonia;2013;0.842875871787523;0.129544;1.164262;0;0.358412227904239;0.00204801556772412;0;0;7.52714842742947
Holandia;2013;42.8269589440623;32.8413107862807;8.18524887742429;0.65412929356926;0.0258659546544779;0.116735303434855;1.27328325112006;1.34724170701905;210.875703288139
Norwegia;2013;11.0866220080444;3.41706715985598;0.776249164039362;0;28.9980540344842;0.00203647553966601;0.425623387790196;0.0896049237453044;36.5313766947142
Polska;2013;25.6911235835656;14.9702636858699;53.3811025126588;0;0.551884871249489;0.000339412589944335;1.35855546001719;1.95096619450603;310.094837796413
Portugalia;2013;11.5880102727814;3.71310633419432;2.649649;0;3.10675657329048;0.108417406208987;2.718604587048;0.734847136262838;48.9990132696295
Rumunia;2013;8.55499319289194;9.838950988822;5.755;2.62895415667284;3.34740009956101;0.0950355251844138;1.02276327103226;0.0570213151106483;68.6791911323519
S這wacja;2013;3.7002809544282;4.81444539982802;965763;3.55704394261663;1.07344888446395;0.133049735258179;0.00135765035977734;0.206136579626193;33.1045376869371
S這wenia;2013;2.45489213719308;0.697048209974205;1.34159;1.19925781780332;1.04742725256822;0.0486491378920213;0.00090510023985156;0.0590577906503143;13.9035401221874
Hiszpania;2013;60.2455322494602;26.077468644;11.397;12.8368857763497;8.32237371140253;2.96666722435171;12.6187106606892;1.19709029394918;275.298736822376
Szwecja;2013;15.0032588209543;0.930760963026654;2.218;15.0375616599538;13.8844639543829;0.00791962709870115;2.22699914015476;2.59084943657509;49.0161484200815
Szwacjaria;2013;12.2647875818764;2.77364574376612;0.133037164421515;5.92388106982853;8.5573113585965;0.11428033331459;0.0205704599966262;0.387930726485856;42.8345984646055
Turcja;2013;36.4855081685297;37.8043723129837;31.5641999697054;0;13.4453794632755;0.00153518925297899;1.71006245191654;0.573548671765396;305.484369152607
Wielka_Brytania;2013;73.0716024173963;65.6401488795311;36.97311;15.9765753450975;1.06383421013833;0.454872173116963;6.42556720976133;4.0966851764904;497.432210140696
